pid,item_id,group,test_time,correct,pre_score_z
P008,25,control,post,1,2.299315009013095
P008,19,control,post,0,2.299315009013095
P009,22,control,post,0,1.814707587775032
P009,23,control,post,1,1.814707587775032
P009,28,control,post,0,1.814707587775032
P009,17,control,post,0,1.814707587775032
P009,1,control,post,1,1.814707587775032
P009,26,control,post,1,1.814707587775032
P009,25,control,post,1,1.814707587775032
P009,19,control,post,0,1.814707587775032
P010,22,control,post,1,-0.6083295184152829
P010,23,control,post,1,-0.6083295184152829
P010,28,control,post,0,-0.6083295184152829
P010,17,control,post,0,-0.6083295184152829
P010,1,control,post,1,-0.6083295184152829
P010,26,control,post,0,-0.6083295184152829
P010,25,control,post,1,-0.6083295184152829
P010,19,control,post,1,-0.6083295184152829
P011,22,control,post,1,-0.6083295184152829
P011,23,control,post,0,-0.6083295184152829
P011,28,control,post,0,-0.6083295184152829
P011,17,control,post,0,-0.6083295184152829
P011,1,control,post,0,-0.6083295184152829
P011,26,control,post,0,-0.6083295184152829
P011,25,control,post,0,-0.6083295184152829
P011,19,control,post,0,-0.6083295184152829
P012,22,control,post,1,-0.6083295184152829
P012,23,control,post,1,-0.6083295184152829
P012,28,control,post,0,-0.6083295184152829
P012,17,control,post,0,-0.6083295184152829
P012,1,control,post,1,-0.6083295184152829
P012,26,control,post,0,-0.6083295184152829
P012,25,control,post,0,-0.6083295184152829
P012,19,control,post,1,-0.6083295184152829
P017,22,control,post,0,-0.6083295184152829
P017,23,control,post,1,-0.6083295184152829
P017,28,control,post,0,-0.6083295184152829
P017,17,control,post,0,-0.6083295184152829
P017,1,control,post,1,-0.6083295184152829
P017,26,control,post,0,-0.6083295184152829
P017,25,control,post,1,-0.6083295184152829
P017,19,control,post,0,-0.6083295184152829
P020,22,control,post,1,-1.092936939653346
P020,23,control,post,1,-1.092936939653346
P020,28,control,post,0,-1.092936939653346
P020,17,control,post,0,-1.092936939653346
P020,1,control,post,1,-1.092936939653346
P020,26,control,post,0,-1.092936939653346
P020,25,control,post,0,-1.092936939653346
P020,19,control,post,1,-1.092936939653346
P021,22,embodied,post,1,-0.12372209717721992
P021,23,embodied,post,0,-0.12372209717721992
P021,28,embodied,post,0,-0.12372209717721992
P021,17,embodied,post,0,-0.12372209717721992
P021,1,embodied,post,0,-0.12372209717721992
P021,26,embodied,post,1,-0.12372209717721992
P021,25,embodied,post,0,-0.12372209717721992
P021,19,embodied,post,1,-0.12372209717721992
P022,22,embodied,post,1,-0.6083295184152829
P022,23,embodied,post,0,-0.6083295184152829
P022,28,embodied,post,1,-0.6083295184152829
P022,17,embodied,post,0,-0.6083295184152829
P022,1,embodied,post,0,-0.6083295184152829
P022,26,embodied,post,1,-0.6083295184152829
P022,25,embodied,post,1,-0.6083295184152829
P022,19,embodied,post,1,-0.6083295184152829
P023,22,embodied,post,1,-0.12372209717721992
P023,23,embodied,post,0,-0.12372209717721992
P023,28,embodied,post,0,-0.12372209717721992
P023,17,embodied,post,0,-0.12372209717721992
P023,1,embodied,post,0,-0.12372209717721992
P023,26,embodied,post,1,-0.12372209717721992
P023,25,embodied,post,1,-0.12372209717721992
P023,19,embodied,post,0,-0.12372209717721992
P024,22,control,post,1,0.8454927452989061
P024,23,control,post,1,0.8454927452989061
P024,28,control,post,0,0.8454927452989061
P024,17,control,post,0,0.8454927452989061
P024,1,control,post,1,0.8454927452989061
P024,26,control,post,1,0.8454927452989061
P024,25,control,post,1,0.8454927452989061
P024,19,control,post,0,0.8454927452989061
P025,22,embodied,post,1,-0.12372209717721992
P025,23,embodied,post,1,-0.12372209717721992
P025,28,embodied,post,0,-0.12372209717721992
P025,17,embodied,post,0,-0.12372209717721992
P025,1,embodied,post,1,-0.12372209717721992
P025,26,embodied,post,0,-0.12372209717721992
P025,25,embodied,post,1,-0.12372209717721992
P025,19,embodied,post,1,-0.12372209717721992
P026,22,embodied,post,1,2.299315009013095
P026,23,embodied,post,0,2.299315009013095
P026,28,embodied,post,0,2.299315009013095
P026,17,embodied,post,0,2.299315009013095
P026,1,embodied,post,1,2.299315009013095
P026,26,embodied,post,1,2.299315009013095
P026,25,embodied,post,0,2.299315009013095
P026,19,embodied,post,0,2.299315009013095
P027,22,embodied,post,0,-0.12372209717721992
P027,23,embodied,post,1,-0.12372209717721992
P027,28,embodied,post,0,-0.12372209717721992
P027,17,embodied,post,0,-0.12372209717721992
P027,1,embodied,post,1,-0.12372209717721992
P027,26,embodied,post,0,-0.12372209717721992
P027,25,embodied,post,1,-0.12372209717721992
P027,19,embodied,post,1,-0.12372209717721992
P028,22,embodied,post,1,3.268529851489221
P028,23,embodied,post,1,3.268529851489221
P028,28,embodied,post,0,3.268529851489221
P028,17,embodied,post,0,3.268529851489221
P028,1,embodied,post,1,3.268529851489221
P028,26,embodied,post,1,3.268529851489221
P028,25,embodied,post,1,3.268529851489221
P028,19,embodied,post,1,3.268529851489221
P029,22,embodied,post,1,0.36088532406084306
P029,23,embodied,post,0,0.36088532406084306
P029,28,embodied,post,0,0.36088532406084306
P029,17,embodied,post,1,0.36088532406084306
P029,1,embodied,post,0,0.36088532406084306
P029,26,embodied,post,0,0.36088532406084306
P029,25,embodied,post,1,0.36088532406084306
P029,19,embodied,post,0,0.36088532406084306
P030,22,embodied,post,1,1.330100166536969
P030,23,embodied,post,1,1.330100166536969
P030,28,embodied,post,1,1.330100166536969
P030,17,embodied,post,0,1.330100166536969
P030,1,embodied,post,1,1.330100166536969
P030,26,embodied,post,1,1.330100166536969
P030,25,embodied,post,1,1.330100166536969
P030,19,embodied,post,1,1.330100166536969
P032,22,embodied,post,1,-0.6083295184152829
P032,23,embodied,post,1,-0.6083295184152829
P032,28,embodied,post,0,-0.6083295184152829
P032,17,embodied,post,0,-0.6083295184152829
P032,1,embodied,post,1,-0.6083295184152829
P032,26,embodied,post,1,-0.6083295184152829
P032,25,embodied,post,1,-0.6083295184152829
P032,19,embodied,post,1,-0.6083295184152829
P033,22,embodied,post,1,-0.12372209717721992
P033,23,embodied,post,1,-0.12372209717721992
P033,28,embodied,post,0,-0.12372209717721992
P033,17,embodied,post,0,-0.12372209717721992
P033,1,embodied,post,0,-0.12372209717721992
P033,26,embodied,post,0,-0.12372209717721992
P033,25,embodied,post,0,-0.12372209717721992
P033,19,embodied,post,0,-0.12372209717721992
P034,22,embodied,post,1,-1.5775443608914088
P034,23,embodied,post,1,-1.5775443608914088
P034,28,embodied,post,0,-1.5775443608914088
P034,17,embodied,post,0,-1.5775443608914088
P034,1,embodied,post,0,-1.5775443608914088
P034,26,embodied,post,1,-1.5775443608914088
P034,25,embodied,post,1,-1.5775443608914088
P034,19,embodied,post,0,-1.5775443608914088
P036,22,control,post,1,-1.5775443608914088
P036,23,control,post,0,-1.5775443608914088
P036,28,control,post,1,-1.5775443608914088
P036,17,control,post,0,-1.5775443608914088
P036,1,control,post,0,-1.5775443608914088
P036,26,control,post,1,-1.5775443608914088
P036,25,control,post,0,-1.5775443608914088
P036,19,control,post,0,-1.5775443608914088
P040,22,control,post,1,-0.6083295184152829
P040,23,control,post,0,-0.6083295184152829
P040,28,control,post,1,-0.6083295184152829
P040,17,control,post,0,-0.6083295184152829
P040,1,control,post,0,-0.6083295184152829
P040,26,control,post,0,-0.6083295184152829
P040,25,control,post,0,-0.6083295184152829
P040,19,control,post,0,-0.6083295184152829
P041,22,control,post,1,1.814707587775032
P041,23,control,post,1,1.814707587775032
P041,28,control,post,0,1.814707587775032
P041,17,control,post,0,1.814707587775032
P041,1,control,post,0,1.814707587775032
P041,26,control,post,1,1.814707587775032
P041,25,control,post,0,1.814707587775032
P041,19,control,post,0,1.814707587775032
P042,22,control,post,1,-1.092936939653346
P042,23,control,post,1,-1.092936939653346
P042,28,control,post,0,-1.092936939653346
P042,17,control,post,0,-1.092936939653346
P042,1,control,post,1,-1.092936939653346
P042,26,control,post,1,-1.092936939653346
P042,25,control,post,1,-1.092936939653346
P042,19,control,post,0,-1.092936939653346
P043,22,control,post,1,0.36088532406084306
P043,23,control,post,1,0.36088532406084306
P043,28,control,post,0,0.36088532406084306
P043,17,control,post,0,0.36088532406084306
P043,1,control,post,0,0.36088532406084306
P043,26,control,post,1,0.36088532406084306
P043,25,control,post,0,0.36088532406084306
P043,19,control,post,0,0.36088532406084306
P045,22,embodied,post,1,-0.6083295184152829
P045,23,embodied,post,1,-0.6083295184152829
P045,28,embodied,post,0,-0.6083295184152829
P045,17,embodied,post,1,-0.6083295184152829
P045,1,embodied,post,1,-0.6083295184152829
P045,26,embodied,post,1,-0.6083295184152829
P045,25,embodied,post,0,-0.6083295184152829
P045,19,embodied,post,0,-0.6083295184152829
P048,22,embodied,post,1,-0.6083295184152829
P048,23,embodied,post,1,-0.6083295184152829
P048,28,embodied,post,1,-0.6083295184152829
P048,17,embodied,post,0,-0.6083295184152829
P048,1,embodied,post,1,-0.6083295184152829
P048,26,embodied,post,0,-0.6083295184152829
P048,25,embodied,post,1,-0.6083295184152829
P048,19,embodied,post,0,-0.6083295184152829
P049,22,embodied,post,1,0.36088532406084306
P049,23,embodied,post,1,0.36088532406084306
P049,28,embodied,post,1,0.36088532406084306
P049,17,embodied,post,0,0.36088532406084306
P049,1,embodied,post,1,0.36088532406084306
P049,26,embodied,post,1,0.36088532406084306
P049,25,embodied,post,1,0.36088532406084306
P049,19,embodied,post,1,0.36088532406084306
P050,22,embodied,post,1,-0.6083295184152829
P050,23,embodied,post,1,-0.6083295184152829
P050,28,embodied,post,0,-0.6083295184152829
P050,17,embodied,post,0,-0.6083295184152829
P050,1,embodied,post,1,-0.6083295184152829
P050,26,embodied,post,0,-0.6083295184152829
P050,25,embodied,post,1,-0.6083295184152829
P050,19,embodied,post,0,-0.6083295184152829
P053,22,control,post,1,-1.092936939653346
P053,23,control,post,1,-1.092936939653346
P053,28,control,post,0,-1.092936939653346
P053,17,control,post,0,-1.092936939653346
P053,1,control,post,0,-1.092936939653346
P053,26,control,post,0,-1.092936939653346
P053,25,control,post,0,-1.092936939653346
P053,19,control,post,0,-1.092936939653346
P054,22,embodied,post,1,0.36088532406084306
P054,23,embodied,post,1,0.36088532406084306
P054,28,embodied,post,0,0.36088532406084306
P054,17,embodied,post,0,0.36088532406084306
P054,1,embodied,post,1,0.36088532406084306
P054,26,embodied,post,1,0.36088532406084306
P054,25,embodied,post,1,0.36088532406084306
P054,19,embodied,post,0,0.36088532406084306
P057,22,control,post,1,-0.6083295184152829
P057,23,control,post,1,-0.6083295184152829
P057,28,control,post,1,-0.6083295184152829
P057,17,control,post,1,-0.6083295184152829
P057,1,control,post,1,-0.6083295184152829
P057,26,control,post,1,-0.6083295184152829
P057,25,control,post,1,-0.6083295184152829
P057,19,control,post,1,-0.6083295184152829
P067,22,control,post,1,2.299315009013095
P067,23,control,post,1,2.299315009013095
P067,28,control,post,0,2.299315009013095
P067,17,control,post,0,2.299315009013095
P067,1,control,post,1,2.299315009013095
P067,26,control,post,1,2.299315009013095
P067,25,control,post,1,2.299315009013095
P067,19,control,post,0,2.299315009013095
P060,22,embodied,post,1,2.783922430251158
P060,23,embodied,post,0,2.783922430251158
P060,28,embodied,post,0,2.783922430251158
P060,17,embodied,post,1,2.783922430251158
P060,1,embodied,post,1,2.783922430251158
P060,26,embodied,post,0,2.783922430251158
P060,25,embodied,post,0,2.783922430251158
P060,19,embodied,post,1,2.783922430251158
P062,22,control,post,0,-1.092936939653346
P062,23,control,post,1,-1.092936939653346
P062,28,control,post,1,-1.092936939653346
P062,17,control,post,1,-1.092936939653346
P062,1,control,post,1,-1.092936939653346
P062,26,control,post,1,-1.092936939653346
P062,25,control,post,1,-1.092936939653346
P062,19,control,post,1,-1.092936939653346
P063,22,control,post,1,-0.6083295184152829
P063,23,control,post,1,-0.6083295184152829
P063,28,control,post,1,-0.6083295184152829
P063,17,control,post,0,-0.6083295184152829
P063,1,control,post,0,-0.6083295184152829
P063,26,control,post,1,-0.6083295184152829
P063,25,control,post,1,-0.6083295184152829
P063,19,control,post,1,-0.6083295184152829
P064,22,embodied,post,0,-1.5775443608914088
P064,23,embodied,post,1,-1.5775443608914088
P064,28,embodied,post,0,-1.5775443608914088
P064,17,embodied,post,0,-1.5775443608914088
P064,1,embodied,post,1,-1.5775443608914088
P064,26,embodied,post,0,-1.5775443608914088
P064,25,embodied,post,0,-1.5775443608914088
P064,19,embodied,post,0,-1.5775443608914088
P065,22,control,post,0,-0.12372209717721992
P065,23,control,post,0,-0.12372209717721992
P065,28,control,post,0,-0.12372209717721992
P065,17,control,post,0,-0.12372209717721992
P065,1,control,post,1,-0.12372209717721992
P065,26,control,post,1,-0.12372209717721992
P065,25,control,post,0,-0.12372209717721992
P065,19,control,post,0,-0.12372209717721992
P066,22,embodied,post,0,-0.12372209717721992
P066,23,embodied,post,1,-0.12372209717721992
P066,28,embodied,post,0,-0.12372209717721992
P066,17,embodied,post,0,-0.12372209717721992
P066,1,embodied,post,0,-0.12372209717721992
P066,26,embodied,post,1,-0.12372209717721992
P066,25,embodied,post,0,-0.12372209717721992
P066,19,embodied,post,0,-0.12372209717721992
P070,22,embodied,post,0,2.299315009013095
P070,23,embodied,post,0,2.299315009013095
P070,28,embodied,post,1,2.299315009013095
P070,17,embodied,post,0,2.299315009013095
P070,1,embodied,post,0,2.299315009013095
P070,26,embodied,post,1,2.299315009013095
P070,25,embodied,post,0,2.299315009013095
P070,19,embodied,post,1,2.299315009013095
P071,22,control,post,1,-2.062151782129472
P071,23,control,post,1,-2.062151782129472
P071,28,control,post,0,-2.062151782129472
P071,17,control,post,0,-2.062151782129472
P071,1,control,post,0,-2.062151782129472
P071,26,control,post,0,-2.062151782129472
P071,25,control,post,0,-2.062151782129472
P071,19,control,post,0,-2.062151782129472
P072,22,embodied,post,0,-0.6083295184152829
P072,23,embodied,post,1,-0.6083295184152829
P072,28,embodied,post,0,-0.6083295184152829
P072,17,embodied,post,0,-0.6083295184152829
P072,1,embodied,post,0,-0.6083295184152829
P072,26,embodied,post,1,-0.6083295184152829
P072,25,embodied,post,0,-0.6083295184152829
P072,19,embodied,post,1,-0.6083295184152829
P073,22,embodied,post,0,-0.12372209717721992
P073,23,embodied,post,0,-0.12372209717721992
P073,28,embodied,post,0,-0.12372209717721992
P073,17,embodied,post,0,-0.12372209717721992
P073,1,embodied,post,0,-0.12372209717721992
P073,26,embodied,post,0,-0.12372209717721992
P073,25,embodied,post,1,-0.12372209717721992
P073,19,embodied,post,0,-0.12372209717721992
P074,22,control,post,1,-1.092936939653346
P074,23,control,post,1,-1.092936939653346
P074,28,control,post,0,-1.092936939653346
P074,17,control,post,0,-1.092936939653346
P074,1,control,post,0,-1.092936939653346
P074,26,control,post,1,-1.092936939653346
P074,25,control,post,0,-1.092936939653346
P074,19,control,post,1,-1.092936939653346
P075,22,embodied,post,1,0.36088532406084306
P075,23,embodied,post,1,0.36088532406084306
P075,28,embodied,post,1,0.36088532406084306
P075,17,embodied,post,1,0.36088532406084306
P075,1,embodied,post,0,0.36088532406084306
P075,26,embodied,post,1,0.36088532406084306
P075,25,embodied,post,1,0.36088532406084306
P075,19,embodied,post,0,0.36088532406084306
P078,22,control,post,0,0.36088532406084306
P078,23,control,post,1,0.36088532406084306
P078,28,control,post,0,0.36088532406084306
P078,17,control,post,0,0.36088532406084306
P078,1,control,post,0,0.36088532406084306
P078,26,control,post,0,0.36088532406084306
P078,25,control,post,1,0.36088532406084306
P078,19,control,post,1,0.36088532406084306
P080,22,embodied,post,0,-0.12372209717721992
P080,23,embodied,post,1,-0.12372209717721992
P080,28,embodied,post,0,-0.12372209717721992
P080,17,embodied,post,0,-0.12372209717721992
P080,1,embodied,post,1,-0.12372209717721992
P080,26,embodied,post,0,-0.12372209717721992
P080,25,embodied,post,1,-0.12372209717721992
P080,19,embodied,post,0,-0.12372209717721992
P083,22,embodied,post,1,1.814707587775032
P083,23,embodied,post,1,1.814707587775032
P083,28,embodied,post,1,1.814707587775032
P083,17,embodied,post,1,1.814707587775032
P083,1,embodied,post,0,1.814707587775032
P083,26,embodied,post,1,1.814707587775032
P083,25,embodied,post,1,1.814707587775032
P083,19,embodied,post,1,1.814707587775032
P084,22,control,post,1,2.783922430251158
P084,23,control,post,1,2.783922430251158
P084,28,control,post,1,2.783922430251158
P084,17,control,post,1,2.783922430251158
P084,1,control,post,1,2.783922430251158
P084,26,control,post,1,2.783922430251158
P084,25,control,post,1,2.783922430251158
P084,19,control,post,1,2.783922430251158
P085,22,embodied,post,1,-1.092936939653346
P085,23,embodied,post,1,-1.092936939653346
P085,28,embodied,post,1,-1.092936939653346
P085,17,embodied,post,0,-1.092936939653346
P085,1,embodied,post,0,-1.092936939653346
P085,26,embodied,post,0,-1.092936939653346
P085,25,embodied,post,0,-1.092936939653346
P085,19,embodied,post,0,-1.092936939653346
P086,22,control,post,1,-0.12372209717721992
P086,23,control,post,1,-0.12372209717721992
P086,28,control,post,0,-0.12372209717721992
P086,17,control,post,0,-0.12372209717721992
P086,1,control,post,0,-0.12372209717721992
P086,26,control,post,1,-0.12372209717721992
P086,25,control,post,1,-0.12372209717721992
P086,19,control,post,0,-0.12372209717721992
P087,22,embodied,post,1,0.36088532406084306
P087,23,embodied,post,1,0.36088532406084306
P087,28,embodied,post,0,0.36088532406084306
P087,17,embodied,post,1,0.36088532406084306
P087,1,embodied,post,0,0.36088532406084306
P087,26,embodied,post,1,0.36088532406084306
P087,25,embodied,post,1,0.36088532406084306
P087,19,embodied,post,1,0.36088532406084306
P089,22,control,post,1,-0.6083295184152829
P089,23,control,post,1,-0.6083295184152829
P089,28,control,post,0,-0.6083295184152829
P089,17,control,post,0,-0.6083295184152829
P089,1,control,post,0,-0.6083295184152829
P089,26,control,post,0,-0.6083295184152829
P089,25,control,post,1,-0.6083295184152829
P089,19,control,post,0,-0.6083295184152829
P091,22,control,post,0,0.8454927452989061
P091,23,control,post,0,0.8454927452989061
P091,28,control,post,0,0.8454927452989061
P091,17,control,post,1,0.8454927452989061
P091,1,control,post,1,0.8454927452989061
P091,26,control,post,1,0.8454927452989061
P091,25,control,post,0,0.8454927452989061
P091,19,control,post,0,0.8454927452989061
P092,22,embodied,post,1,-0.6083295184152829
P092,23,embodied,post,1,-0.6083295184152829
P092,28,embodied,post,0,-0.6083295184152829
P092,17,embodied,post,0,-0.6083295184152829
P092,1,embodied,post,0,-0.6083295184152829
P092,26,embodied,post,0,-0.6083295184152829
P092,25,embodied,post,1,-0.6083295184152829
P092,19,embodied,post,1,-0.6083295184152829
P093,22,embodied,post,1,0.36088532406084306
P093,23,embodied,post,0,0.36088532406084306
P093,28,embodied,post,0,0.36088532406084306
P093,17,embodied,post,0,0.36088532406084306
P093,1,embodied,post,0,0.36088532406084306
P093,26,embodied,post,0,0.36088532406084306
P093,25,embodied,post,0,0.36088532406084306
P093,19,embodied,post,1,0.36088532406084306
P095,22,control,post,1,-0.6083295184152829
P095,23,control,post,1,-0.6083295184152829
P095,28,control,post,0,-0.6083295184152829
P095,17,control,post,0,-0.6083295184152829
P095,1,control,post,1,-0.6083295184152829
P095,26,control,post,1,-0.6083295184152829
P095,25,control,post,0,-0.6083295184152829
P095,19,control,post,0,-0.6083295184152829
P097,22,control,post,1,0.36088532406084306
P097,23,control,post,0,0.36088532406084306
P097,28,control,post,0,0.36088532406084306
P097,17,control,post,0,0.36088532406084306
P097,1,control,post,1,0.36088532406084306
P097,26,control,post,1,0.36088532406084306
P097,25,control,post,0,0.36088532406084306
P097,19,control,post,0,0.36088532406084306
P098,22,embodied,post,0,-1.092936939653346
P098,23,embodied,post,1,-1.092936939653346
P098,28,embodied,post,0,-1.092936939653346
P098,17,embodied,post,0,-1.092936939653346
P098,1,embodied,post,1,-1.092936939653346
P098,26,embodied,post,1,-1.092936939653346
P098,25,embodied,post,1,-1.092936939653346
P098,19,embodied,post,1,-1.092936939653346
P100,22,control,post,1,0.8454927452989061
P100,23,control,post,1,0.8454927452989061
P100,28,control,post,0,0.8454927452989061
P100,17,control,post,0,0.8454927452989061
P100,1,control,post,1,0.8454927452989061
P100,26,control,post,1,0.8454927452989061
P100,25,control,post,1,0.8454927452989061
P100,19,control,post,1,0.8454927452989061
P101,22,embodied,post,0,-0.6083295184152829
P101,23,embodied,post,1,-0.6083295184152829
P101,28,embodied,post,0,-0.6083295184152829
P101,17,embodied,post,0,-0.6083295184152829
P101,1,embodied,post,0,-0.6083295184152829
P101,26,embodied,post,0,-0.6083295184152829
P101,25,embodied,post,1,-0.6083295184152829
P101,19,embodied,post,0,-0.6083295184152829
P103,22,control,post,0,1.330100166536969
P103,23,control,post,1,1.330100166536969
P103,28,control,post,0,1.330100166536969
P103,17,control,post,0,1.330100166536969
P103,1,control,post,1,1.330100166536969
P103,26,control,post,1,1.330100166536969
P103,25,control,post,0,1.330100166536969
P103,19,control,post,1,1.330100166536969
P104,22,embodied,post,1,-0.6083295184152829
P104,23,embodied,post,0,-0.6083295184152829
P104,28,embodied,post,0,-0.6083295184152829
P104,17,embodied,post,0,-0.6083295184152829
P104,1,embodied,post,1,-0.6083295184152829
P104,26,embodied,post,1,-0.6083295184152829
P104,25,embodied,post,1,-0.6083295184152829
P104,19,embodied,post,0,-0.6083295184152829
P105,22,control,post,1,-0.6083295184152829
P105,23,control,post,1,-0.6083295184152829
P105,28,control,post,0,-0.6083295184152829
P105,17,control,post,0,-0.6083295184152829
P105,1,control,post,0,-0.6083295184152829
P105,26,control,post,0,-0.6083295184152829
P105,25,control,post,0,-0.6083295184152829
P105,19,control,post,0,-0.6083295184152829
P108,22,embodied,post,0,-0.6083295184152829
P108,23,embodied,post,0,-0.6083295184152829
P108,28,embodied,post,0,-0.6083295184152829
P108,17,embodied,post,0,-0.6083295184152829
P108,1,embodied,post,0,-0.6083295184152829
P108,26,embodied,post,0,-0.6083295184152829
P108,25,embodied,post,0,-0.6083295184152829
P108,19,embodied,post,0,-0.6083295184152829
P109,22,control,post,1,-0.6083295184152829
P109,23,control,post,1,-0.6083295184152829
P109,28,control,post,1,-0.6083295184152829
P109,17,control,post,0,-0.6083295184152829
P109,1,control,post,1,-0.6083295184152829
P109,26,control,post,1,-0.6083295184152829
P109,25,control,post,1,-0.6083295184152829
P109,19,control,post,1,-0.6083295184152829
P111,22,embodied,post,1,-0.6083295184152829
P111,23,embodied,post,1,-0.6083295184152829
P111,28,embodied,post,0,-0.6083295184152829
P111,17,embodied,post,0,-0.6083295184152829
P111,1,embodied,post,0,-0.6083295184152829
P111,26,embodied,post,0,-0.6083295184152829
P111,25,embodied,post,0,-0.6083295184152829
P111,19,embodied,post,0,-0.6083295184152829
P114,22,embodied,post,1,0.8454927452989061
P114,23,embodied,post,1,0.8454927452989061
P114,28,embodied,post,0,0.8454927452989061
P114,17,embodied,post,0,0.8454927452989061
P114,1,embodied,post,0,0.8454927452989061
P114,26,embodied,post,1,0.8454927452989061
P114,25,embodied,post,1,0.8454927452989061
P114,19,embodied,post,0,0.8454927452989061
P115,22,control,post,0,-0.12372209717721992
P115,23,control,post,1,-0.12372209717721992
P115,28,control,post,0,-0.12372209717721992
P115,17,control,post,0,-0.12372209717721992
P115,1,control,post,1,-0.12372209717721992
P115,26,control,post,1,-0.12372209717721992
P115,25,control,post,0,-0.12372209717721992
P115,19,control,post,0,-0.12372209717721992
P116,22,embodied,post,1,-0.12372209717721992
P116,23,embodied,post,1,-0.12372209717721992
P116,28,embodied,post,0,-0.12372209717721992
P116,17,embodied,post,1,-0.12372209717721992
P116,1,embodied,post,1,-0.12372209717721992
P116,26,embodied,post,1,-0.12372209717721992
P116,25,embodied,post,1,-0.12372209717721992
P116,19,embodied,post,1,-0.12372209717721992
P117,22,control,post,1,-1.092936939653346
P117,23,control,post,1,-1.092936939653346
P117,28,control,post,0,-1.092936939653346
P117,17,control,post,0,-1.092936939653346
P117,1,control,post,1,-1.092936939653346
P117,26,control,post,1,-1.092936939653346
P117,25,control,post,0,-1.092936939653346
P117,19,control,post,0,-1.092936939653346
P120,22,control,post,0,-0.6083295184152829
P120,23,control,post,1,-0.6083295184152829
P120,28,control,post,1,-0.6083295184152829
P120,17,control,post,1,-0.6083295184152829
P120,1,control,post,0,-0.6083295184152829
P120,26,control,post,1,-0.6083295184152829
P120,25,control,post,1,-0.6083295184152829
P120,19,control,post,0,-0.6083295184152829
P122,22,embodied,post,1,-0.6083295184152829
P122,23,embodied,post,1,-0.6083295184152829
P122,28,embodied,post,0,-0.6083295184152829
P122,17,embodied,post,0,-0.6083295184152829
P122,1,embodied,post,0,-0.6083295184152829
P122,26,embodied,post,1,-0.6083295184152829
P122,25,embodied,post,1,-0.6083295184152829
P122,19,embodied,post,1,-0.6083295184152829
P124,22,control,post,1,-0.12372209717721992
P124,23,control,post,1,-0.12372209717721992
P124,28,control,post,0,-0.12372209717721992
P124,17,control,post,0,-0.12372209717721992
P124,1,control,post,0,-0.12372209717721992
P124,26,control,post,1,-0.12372209717721992
P124,25,control,post,1,-0.12372209717721992
P124,19,control,post,0,-0.12372209717721992
P125,22,control,post,1,0.36088532406084306
P125,23,control,post,0,0.36088532406084306
P125,28,control,post,1,0.36088532406084306
P125,17,control,post,1,0.36088532406084306
P125,1,control,post,1,0.36088532406084306
P125,26,control,post,1,0.36088532406084306
P125,25,control,post,1,0.36088532406084306
P125,19,control,post,1,0.36088532406084306
P126,22,embodied,post,1,-0.12372209717721992
P126,23,embodied,post,1,-0.12372209717721992
P126,28,embodied,post,1,-0.12372209717721992
P126,17,embodied,post,0,-0.12372209717721992
